brand,model_year,milage,fuel_type,ext_col,int_col,accident,price,horsepower,displacement,cylinders,transmission_type,gears
13,2012,129000.0,3,9,3,0,0,171.0,2.5,4.0,0,8.0
25,2014,106731.0,3,9,6,0,1,360.0,4.6,8.0,0,8.0
13,2019,34672.0,3,9,8,1,2,400.0,3.5,6.0,0,10.0
8,2010,55900.0,3,6,6,1,0,252.0,3.6,6.0,0,6.0
3,2023,3158.0,3,3,7,1,4,333.0,4.0,8.0,0,1.0
3,2015,82000.0,3,9,2,1,0,220.0,2.0,4.0,0,8.0
15,2023,4785.0,3,0,0,1,2,365.0,2.0,4.0,0,8.0
8,2021,20497.0,3,1,0,1,1,355.0,1.3,3.0,0,9.0
46,2013,177600.0,3,3,0,0,0,180.0,2.5,4.0,0,6.0
26,2014,78568.0,4,1,6,1,0,188.0,2.0,4.0,0,6.0
13,2018,95000.0,1,9,3,1,2,275.0,3.7,6.0,0,8.0
40,2018,4529.0,3,0,0,1,4,365.0,3.8,6.0,0,7.0
13,2021,25240.0,3,3,6,0,1,325.0,2.3,4.0,0,10.0
51,2011,88300.0,3,1,6,0,0,235.0,3.2,6.0,0,8.0
8,2013,98000.0,1,3,0,0,1,320.0,5.3,8.0,0,6.0
3,2018,20675.0,3,3,3,1,3,400.0,2.5,5.0,0,8.0
26,2008,95000.0,3,0,0,1,0,300.0,5.4,8.0,0,6.0
18,2010,107000.0,3,1,1,0,0,138.0,2.0,4.0,0,4.0
3,2016,60000.0,3,0,0,0,1,354.0,3.0,6.0,0,8.0
36,2012,33000.0,3,0,0,1,1,291.0,2.0,4.0,2,5.0
48,2023,500.0,2,0,8,1,2,455.0,0.0,0.0,0,1.0
34,2016,108500.0,3,9,6,1,3,523.0,6.0,12.0,0,7.0
37,2017,37800.0,3,5,5,1,4,565.0,3.8,6.0,0,7.0
34,2018,74422.0,3,0,3,1,2,362.0,4.7,8.0,0,7.0
8,2019,55621.0,3,3,0,1,1,355.0,3.6,6.0,0,9.0
32,2021,46707.0,3,3,0,0,1,184.0,2.5,4.0,0,6.0
13,2022,26500.0,3,9,6,1,3,440.0,3.5,6.0,0,8.0
37,2020,10001.0,3,0,0,1,2,284.0,5.6,8.0,0,9.0
25,2019,19050.0,3,0,6,1,3,383.0,5.7,8.0,0,8.0
8,2020,52000.0,3,9,0,1,1,310.0,3.6,6.0,0,6.0
34,2014,65000.0,0,0,0,0,2,188.0,3.0,6.0,0,7.0
4,2004,140000.0,3,0,6,1,0,225.0,3.0,6.0,0,8.0
13,2018,75600.0,3,1,0,0,0,181.0,1.5,4.0,0,8.0
26,2015,117292.0,3,6,6,1,0,240.0,2.0,4.0,0,6.0
13,2005,1897.0,3,9,6,1,4,325.0,5.4,6.0,2,6.0
15,2017,26000.0,3,9,6,1,1,420.0,5.0,8.0,0,8.0
25,2022,2071.0,3,6,6,1,4,301.0,5.0,8.0,0,8.0
13,2014,15629.0,3,0,0,1,3,325.0,5.8,8.0,2,6.0
3,2022,11322.0,3,3,7,1,4,333.0,4.0,8.0,0,8.0
49,2016,50361.0,3,3,0,1,3,268.0,5.7,6.0,0,6.0
34,2013,115000.0,3,0,0,0,1,429.0,4.6,8.0,0,7.0
40,2005,28500.0,3,3,0,1,3,355.0,3.8,6.0,2,6.0
34,2018,51700.0,3,9,0,1,1,375.0,2.0,4.0,0,7.0
13,2008,148949.0,3,1,6,1,0,263.0,3.5,6.0,0,8.0
4,2018,39300.0,3,9,6,0,1,320.0,3.0,6.0,0,8.0
16,2008,82323.0,3,0,0,1,1,237.0,2.2,4.0,2,6.0
13,2001,109357.0,3,4,6,1,0,310.0,6.8,10.0,0,8.0
34,2004,46000.0,3,9,3,1,0,302.0,5.0,8.0,0,7.0
34,2007,123112.0,3,3,0,0,4,382.0,5.5,8.0,0,7.0
19,2007,37100.0,3,3,0,1,0,306.0,3.5,6.0,2,6.0
50,2016,89000.0,3,3,0,1,0,210.0,2.0,4.0,2,6.0
10,2022,1240.0,3,6,0,1,2,345.0,6.4,8.0,0,8.0
26,2019,67073.0,3,0,0,0,2,450.0,3.5,6.0,0,10.0
48,2023,8200.0,2,0,0,1,4,670.0,0.0,0.0,0,1.0
34,2018,41000.0,3,3,0,1,4,563.0,5.5,8.0,0,7.0
13,2018,98995.0,3,3,6,1,1,325.0,3.5,6.0,0,8.0
50,2012,123815.0,3,0,3,1,0,283.0,3.6,6.0,0,6.0
49,2020,61341.0,3,0,0,0,1,268.0,3.5,6.0,0,8.0
16,2016,96473.0,3,0,0,1,0,205.0,2.0,4.0,1,1.0
21,2017,66107.0,3,0,0,1,1,285.0,3.6,6.0,0,5.0
24,2008,114287.0,3,0,0,1,0,400.0,4.2,8.0,0,6.0
0,2015,75000.0,3,6,6,1,0,150.0,2.0,4.0,0,5.0
4,2016,70582.0,3,0,8,0,1,300.0,3.0,6.0,0,8.0
40,2014,33088.0,3,0,0,1,2,325.0,3.4,6.0,0,7.0
26,2021,1850.0,5,3,6,1,2,266.0,2.5,4.0,1,1.0
7,2008,94155.0,3,9,6,1,0,275.0,4.6,8.0,0,4.0
7,2016,25000.0,3,8,6,1,0,335.0,3.6,6.0,0,8.0
14,2016,99500.0,3,3,0,1,1,355.0,5.3,8.0,0,8.0
19,2009,158564.0,3,1,6,1,0,328.0,3.7,6.0,0,7.0
13,2023,20000.0,3,0,0,1,3,310.0,3.5,6.0,0,10.0
