Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Horsepower,HP RPM,Torque,Torque RPM
7,0,2006,74085.3,5,0,56,1,2,2,2.354,0,4630.0,1780.0,1710.0,5.0,58.0,152.0,6000.0,215.0,3600
18,0,2016,34155.0,5,1,20,14,0,2,0.796,1,3395.0,1490.0,1475.0,5.0,35.0,47.0,6000.0,69.0,3500
24,0,2015,60858.0,2,1,31,14,1,2,1.461,1,4315.0,1822.0,1695.0,5.0,50.0,84.0,3750.0,200.0,1900
8,0,2017,38129.4,5,1,5,7,0,2,1.197,1,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,114.0,4000
7,0,2016,54457.353,5,1,56,12,0,2,1.497,1,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,145.0,4600
20,2,2015,19251.0,5,0,45,2,0,2,1.991,2,4686.0,1810.0,1442.0,5.0,66.0,181.0,5500.0,300.0,1200
8,0,2016,46705.409999999996,2,1,1,14,0,2,1.3960000000000001,1,3985.0,1734.0,1505.0,5.0,40.0,89.0,4000.0,220.0,1500
26,0,2012,42849.0,5,1,45,13,0,2,1.598,1,4000.0,1642.0,1522.0,5.0,45.0,105.0,5250.0,153.0,3800
26,0,2014,54648.0,2,0,56,1,1,2,1.498,1,4386.0,1699.0,1466.0,5.0,55.0,103.0,4400.0,250.0,1500
12,1,2020,9315.0,5,0,36,5,0,2,0.998,1,3995.0,1790.0,1647.0,5.0,45.0,118.0,6000.0,172.0,1500
17,2,2020,28162.35,2,0,6,14,0,2,2.179,1,4585.0,1890.0,1785.0,7.0,70.0,153.0,3750.0,360.0,1750
1,3,2018,42345.369,2,0,29,4,0,2,1.995,2,4633.0,1811.0,1429.0,5.0,57.0,188.0,4000.0,400.0,1750
20,1,2015,46575.0,2,0,20,14,0,2,2.1430000000000002,1,4417.0,1804.0,1494.0,5.0,50.0,134.0,3600.0,300.0,1600
0,1,2014,20493.0,2,0,20,12,1,2,1.968,1,4915.0,1874.0,1455.0,5.0,65.0,177.0,3750.0,380.0,1750
17,0,2014,51543.0,2,1,63,14,1,2,2.179,2,4430.0,1817.0,1975.0,8.0,60.0,120.0,4000.0,290.0,1800
29,2,2014,131031.0,2,1,29,14,0,2,2.982,0,4705.0,1840.0,1850.0,7.0,80.0,169.0,3600.0,343.0,1400
8,0,2015,41607.0,5,1,27,14,0,2,1.197,1,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000
6,0,2017,46575.0,2,1,45,7,0,2,1.498,1,3999.0,1765.0,1708.0,5.0,52.0,99.0,3750.0,205.0,1750
